Index,Country,CityCode,CityName,Name,Longitude,Latitude,pop1975,pop1980,pop1990,pop2000,pop2010,pop2020,pop2025,pop2030,pop2040,pop2050,gr1975,gr2000,gr2020,gr2025,gr2050,nr1975,nr2000,nr2020,nr2025,nr2050
468,China,11700,Hangzhou,Hangzhou,120.2512101,30.28127555,1.1,1.2,2.2,5,6.7,6.9,7.5,8.1,9.1,9.6,142,46,49,45,40,19,8,9,6,5
1386,India,9913,Hyderabad,Hyderabad,78.47568905,17.41389065,2.8,3.3,5.1,6.3,7.6,9,9.2,9.3,9.5,9.5,44,35,38,37,41,5,5,7,7,7
1821,Iran (Islamic Republic of),5264,Tehrān (Tehran),Tehran,51.34926553,35.68490787,4.3,5.1,6.7,7,7.7,8.9,9.2,9.3,9.5,9.5,27,31,39,38,42,1,1,1,1,1
2620,Sudan,4325,Al-Kharṭūm (Khartoum),Khartoum,32.4952459,15.63353848,0.9,1.4,2.7,4.1,5.3,6.4,6.8,7.5,8.5,9.4,203,55,57,56,43,1,1,1,1,1
1114,France,2994,Paris,Paris,2.355571099,48.84911146,7.4,7.5,8.1,8.4,9,9.3,9.4,9.4,9.4,9.3,15,23,35,36,44,1,1,1,1,1
248,Brazil,7935,Rio de Janeiro,Rio de Janeiro,-43.36665243,-22.84584521,5.9,6.7,7.3,8.4,9,9.4,9.5,9.5,9.5,9.3,18,22,34,35,45,2,2,2,2,2
2500,Saudi Arabia,2961,Ar-Riyāḑ (Riyadh),Riyadh,46.7206037,24.68858688,0,0.1,1.4,2.6,4.5,6.3,6.9,7.5,8.4,9.2,2293,119,58,52,46,6,1,1,1,1
1012,Egypt,275,Alexandria,Alexandria,29.95176609,31.19336958,2.6,3.1,3.8,4.5,5.4,6.9,7.3,7.7,8.4,9,45,48,48,48,47,2,2,2,2,2
2556,South Africa,3664,Johannesburg,Johannesburg,27.86009172,-26.12044929,1.2,1.2,1.4,2.8,4.7,6.5,7.1,7.6,8.3,8.9,136,104,56,50,48,1,1,1,1,1
2214,Nigeria,7330,Onitsha,Onitsha,6.820531857,6.17349813,0.8,1,1.7,2.4,3.4,5,5.6,6.3,7.5,8.7,248,134,78,69,49,4,3,2,2,2
288,Cameroon,2324,Yaoundé,Yaoundé,11.51771222,3.849666291,0.5,0.6,1,1.6,2.7,4.4,5.1,5.8,7.3,8.7,413,211,89,79,50,1,1,1,1,1
1948,Kenya,2033,Nairobi,Nairobi,36.84516193,-1.265921137,0.5,0.8,1.5,2.6,3.8,5.6,6.1,6.7,7.7,8.5,353,116,67,65,51,1,1,1,1,1
1928,Jordan,850,Ammān (Amman),Amman,35.96021485,31.9836228,0.8,1.1,1.7,2.6,3.7,6.2,6.4,6.8,7.7,8.4,216,110,61,62,52,1,1,1,1,1
1189,India,6408,Ahmedabad,Ahmedabad,72.59716794,23.02083698,2.6,3,4,5.1,6.2,7.5,7.6,7.8,8.1,8.2,48,45,44,44,53,6,7,8,8,8
863,Taiwan,12128,Taipei,Taipei,121.4793369,25.02749595,3.7,4.7,6.8,7.9,8.6,9.2,9.1,9.1,8.7,8.2,29,28,36,39,54,1,1,1,1,1
1629,India,7233,Surat,Surat,72.77891877,21.1776195,1,1.3,1.9,3.3,4.8,6.6,6.9,7.2,7.7,8,178,80,53,53,55,19,12,9,9,9
6,Afghanistan,4703,Kābul (Kabul),Kabul,69.15522047,34.52974629,0.8,1.1,1.9,2.7,3.8,5.2,5.6,6.3,7.2,8,244,106,72,68,56,1,1,1,1,1
2729,Uganda,1866,Kampala,Kampala,32.57949819,0.321224889,0.6,0.7,1,1.7,2.8,4.2,4.9,5.5,6.8,7.9,311,186,95,85,57,1,1,1,1,1
1556,India,8616,Pune,Pune,73.86026405,18.5350449,2.4,2.7,3.4,4.3,5.7,6.6,6.8,7.1,7.5,7.7,53,49,55,55,58,7,8,10,10,10
704,China,9414,Tianjin,Tianjin,117.1941865,39.13268048,2.6,2.6,3,4.3,5.7,7,7.3,7.5,7.6,7.6,49,51,47,47,59,5,10,8,8,6
1994,Mali,374,Bamako,Bamako,-7.988411445,12.63104978,0.3,0.5,0.8,1.2,2.4,3.7,4.2,4.9,6.4,7.6,576,270,116,103,60,1,1,1,1,1
693,China,11632,Suzhou,Suzhou,120.6235409,31.38144218,0.9,1,1.8,3.7,4.9,7.6,7.7,7.8,7.8,7.6,185,66,42,43,61,25,14,5,5,7
1038,Egypt,7397,Luxor,Luxor,32.58581363,25.6736045,0.1,0.1,0.1,0.2,0.9,3.6,4.2,4.8,6.1,7.6,1802,1822,120,104,62,26,30,3,3,3
1837,Iraq,3303,Baghdād (Baghdad),Baghdad,44.38863525,33.33712225,2,2.5,3.3,4.3,4.8,6.1,6.4,6.7,7.1,7.5,65,52,62,63,63,1,1,1,1,1
2262,Pakistan,7724,Faisalabad,Faisalabad,73.08699459,31.42332553,1.1,1.4,1.9,2.8,3.8,5.2,5.6,5.9,6.7,7.3,146,98,74,73,64,3,3,3,3,3
1156,Ghana,3336,Accra,Accra,-0.210576368,5.603662634,0.9,1.2,1.7,2.6,3.9,5.2,5.6,6,6.7,7.2,210,111,73,71,65,1,1,1,1,1
2544,Somalia,3197,Muqdisho (Mogadishu),Mogadishu,45.33137162,2.053932625,0.4,0.5,1,1.2,1.7,3.8,4.4,5,6.1,7.2,428,273,108,95,66,1,1,1,1,1
1454,India,9587,Kozhikode,Kozhikode,75.85834865,11.20591474,0.6,0.7,1.4,2.3,2.8,5.9,6.1,6.4,6.9,7.1,332,136,65,66,67,48,18,11,11,11
323,Chile,2380,Santiago,Santiago,-70.65339268,-33.49153575,2.8,3.4,4.3,5.3,6,6.6,6.7,6.9,7,6.9,42,43,54,58,68,1,1,1,1,1
2760,United Arab Emirates,865,Dubai,Dubai,55.34248425,25.26604574,0,0.2,0.6,1.3,2.3,4.4,5.3,5.6,6.2,6.9,2293,257,90,76,69,1,1,1,1,1
382,China,11800,Chaozhou,Chaozhou,116.3200904,23.65298872,0.5,0.7,1.9,4.2,5,6.2,6.4,6.6,6.8,6.8,351,53,60,61,70,47,11,12,11,8
2220,Nigeria,7369,Owerri,Owerri,7.038131048,5.687425111,0.1,0.1,0.6,1.3,2.1,3.2,3.8,4.4,5.6,6.8,2149,266,146,121,71,74,5,5,4,3
2273,Pakistan,7017,Islāmābād,Islāmābād,73.06212882,33.6079058,0.8,1,1.7,2.6,3.7,4.5,4.9,5.3,6,6.7,226,115,88,88,72,5,4,4,4,4
2993,Zambia,1498,Lusaka,Lusaka,28.29152668,-15.39710822,0.2,0.4,0.7,1.1,1.9,3,3.5,4.1,5.3,6.6,942,318,158,135,73,1,1,1,1,1
281,Cameroon,813,Douala,Douala,9.739664685,4.051348768,0.4,0.5,0.9,1.5,2.4,3.7,4.1,4.6,5.6,6.4,547,231,113,109,74,2,2,2,2,2
2193,Nigeria,8435,Kano,Kano,8.509318129,11.98518528,0.8,1.2,2,2.7,3.6,4.5,4.8,5.2,5.8,6.4,239,105,87,89,75,3,2,3,3,4
1766,Indonesia,7728,Surabaya,Surabaya,112.6874689,-7.380526983,3.6,4.1,5,5.7,6.5,6.9,6.8,6.8,6.6,6.3,32,39,50,54,76,2,3,3,3,3
2652,Syrian Arab Republic,1404,Dimashq (Damascus),Damascus,36.3062673,33.50347155,1.2,1.5,2.1,2.5,3.3,3.4,4.3,5,5.8,6.3,132,122,128,99,77,1,1,1,1,1
609,China,11254,Nanjing,Nanjing,118.7777311,32.0355096,1.6,1.7,2.8,3.9,5.2,6.8,6.8,6.8,6.6,6.3,91,59,52,57,78,11,13,10,10,9
